I'm saying no.	Estou dizendo que não.
Can you tell me what's bothering you?	Você pode me dizer o que é que a preocupa?
The sun appeared on the horizon.	O sol apareceu no horizonte.
Do they miss their mother?	Estão sentindo falta da mãe?
I don't know where you work.	Eu não sei onde você trabalha.
Do you know this one?	Conhece esta?
I just don't want you to catch my cold.	Eu só não quero que você pegue minha gripe.
I want to be loved.	Eu quero ser amado.
The Jacksons moved to Boston.	Os Jacksons mudaram-se para Boston.
They're not mine.	Eles não são meus.
The greatest pleasure I know is to do a good action by stealth and have it found out by accident.	O maior prazer que eu conheço é praticar uma boa ação em segredo, e ela mais tarde ser descoberta por acaso.
No matter what happens, don't give up.	Não importa o que aconteça, não desista.
If you don't hurry, you'll miss your train.	Se você não se apressar, perderá o trem.
The dog looks sick.	O cachorro parece doente.
Fadil was terrified for his daughter.	Fadil estava aterrorizado por causa de sua filha.
I saw the doctor.	Eu consultei o médico.
Is their language difficult?	A língua deles é difícil?
The man who shot McKinley was Leon Czolgosz.	O homem que atirou em McKinley era Leon Czolgosz.
Tom has been kicked off the team.	Tom foi expulso da equipe.
Do they play video games?	Será que eles jogam vídeo games?
Esperanto is spoken.	Fala-se Esperanto.
You don't want to be lazy.	Você não quer ser preguiçoso.
Make sure you choose wisely.	Procure estar convencido de escolher sabiamente.
I'm not your wife.	Não sou sua esposa.
I'm looking for a friend of mine.	Estou procurando um amigo meu.
You're going to wait for me, aren't you?	Você vai me esperar, não é?
Tom did that, too.	O Tom fez isso também.
I'm a big fan of Tom.	Sou um grande fã de Tom.
It was a very hot night.	Foi uma noite muito quente.
I knew Tom might be right about that.	Eu sabia que o Tom poderia estar certo a respeito daquilo.
You forgot to water the plants!	Você esqueceu de regar as plantas!
Will you pay?	Você quer pagar?
Please say it in French.	Fala em francês.
Tom is really gullible.	Tom é muito ingênuo.
Tom rinsed the dishes.	Tom enxaguou as louças.
I cannot see it.	Eu não consigo enxergá-lo.
We wanted dessert.	Queríamos sobremesa.
The game ends when all disputes and territorial claims are over.	O jogo termina quando todas as disputas e pretensões territoriais tenham acabado.
Give me a spoon.	Dê-me uma colher.
What's that building?	O que é esse prédio?
Where are we going after?	Onde vamos depois?
The time will come when she will repent of it.	Em algum momento, ela vai se arrepender disso.
We aren't going to do that.	Nós não vamos fazer isso.
Tom says I drive too fast.	Tom diz que eu dirijo rápido demais.
I didn't expect it.	Eu não esperava isso.
What's he doing here?	O que ele está fazendo aqui?
I don't want to miss the bus.	Não quero perder o ônibus.
She was afraid of travelling alone.	Ela estava com medo de viajar sozinha.
It was just like in the movies.	Foi exatamenrte como nos filmes.
Also, check out other articles on our blog about how to increase your English vocabulary.	Não deixe de conferir também outros artigos do nosso blog, sobre como aumentar seu vocabulário em inglês.
Tom laughed and Mary smiled.	Tom riu e Mary sorriu.
You look a little like Tom.	Você se parece um pouco com o Tom.
Do you think that it'll be hard to do that?	Você acha que será difícil fazer isso?
Tom isn't scared of snakes at all.	Tom não tem medo de cobras de forma alguma.
If you want, you can go too.	Se você quiser, pode ir também.
I want you to explain all this to me.	Quero que você me explique tudo isso.
John will clean the potatoes.	John limpará as batatas.
What's the matter, darling?	Qual o problema, querido?
I'm just asking.	Só estou perguntando.
I found him a genius at chemistry.	Eu o achei um gênio em química.
I don't have a contract yet.	Eu não tenho contrato ainda.
We can't sell that bracelet.	Não podemos vender aquele bracelete.
Where did you eat dinner?	Onde você jantou?
I heard that there were alligators in the sewers.	Ouvi que havia jacarés no esgoto.
When was the last time that you went to Boston?	Quando foi a última vez que você foi a Boston?
You'll find out soon enough.	Você vai descobrir em breve.
How is your summer going?	Como está indo o seu verão?
Toki Pona is an attempt to interpret the meaning of life in a nutshell.	Toki Pona é uma tentativa de interpretar o sentido da vida em poucas palavras.
I knew you wouldn't like the way Tom did that.	Sabia que vocês não iriam gostar da maneira que o Tom fez isso.
Tom became an extremely famous poet. However, all his poems were in Esperanto. Over the decades, many translators fought to the death over the interpretations of his poems.	Tom tornou-se um poeta extremamente famoso. No entanto, todos os seus poemas eram em Esperanto. Por décadas a fio, muitos tradutores se engalfinharam em disputa acirrada sobre a interpretação daqueles poemas.
We can't tell her and her younger sister apart.	Não podemos diferenciá-la de sua irmã.
You are also a beautiful blonde.	Você também é uma loura linda.
Would you sing us a song in English?	Você nos cantaria uma música em inglês?
Please forgive me.	Por favor, deixe passar dessa vez.
He told me that the book was interesting.	Ele me disse que o livro era interessante.
Why are you running?	Por que você está correndo?
Tom is one of the students that I'm teaching French to this year.	Tom é um dos alunos que estou ensinando Francês até este ano.
Who did you have lunch with?	Com quem você almoçou?
I can understand French better than I can speak it.	Eu entendo melhor do que falo o Francês.
Tom acted as if he didn't care.	Tom agiu como se ele não se importasse.
Can we save Tom?	Podemos salvar Tom?
When I was young I got lots of things for free.	Quando jovem, eu conseguia um monte de coisas de graça.
Tom is also a salesman.	Tom é um vendedor também.
We're very grateful.	Nós estamos muito gratos.
This Christmas I want your presence, not your presents.	Neste Natal eu quero sua presença, não seus presentes.
We're anxious.	Estamos ansiosos.
I need a tissue.	Preciso de um tecido.
No one laughed.	Ninguém riu.
I don't have time now.	Estou sem tempo agora.
That's why Tom was hated.	Por isso odiavam o Tom.
Tom is still angry.	Tom ainda está com raiva.
He asked me on a date.	Ele me pediu em namoro.
Can we do this tomorrow?	Nós podemos fazer isso amanhã?
Can I borrow your car?	Posso pegar seu carro emprestado?
How much are they paying you?	Quanto eles estão te pagando?
Ask as many times as necessary.	Pergunte quantas vezes precisar.
Can you bring my trunk down from upstairs?	Você pode trazer minha mala para baixo?
I think I was wrong.	Eu acho que eu estava errado.
The list keeps getting longer.	A lista continua aumentando.
There are a variety of articles in her purse.	Há uma variedade de artigos na bolsa dela.
You're really nice.	Você é muito legal!
Tom put his keys on the table.	O Tom colocou as chaves na mesa.
With social media it's possible to find out a lot of information about someone before meeting them.	Com a mídia social é possível descobrir muitas informações sobre alguém antes de o conhecer.
I've had a great week.	Eu tive uma ótima semana.
My French isn't very good.	O meu francês não é muito bom.
Mary disagrees with Tom.	Mary discorda de Tom.
You own a yellow sports car, don't you?	Você tem um carro esporte amarelo, não tem?
Bring food.	Traga comida.
Mary laid on her bed, crying with her face buried into her pillow.	Maria estava deitada na sua cama e chorando com o rosto afundado no travesseiro.
Don't forget to bring back this book.	Não se esqueça de trazer este livro de volta.
Tom has never fallen in love.	Tom nunca se apaixonou.
You'd like it.	Vocês gostariam disso.
Her silence makes me nervous.	O seu silêncio me deixa nervosa.
I wouldn’t profess myself to be an avid follower of the Ellen show, though I do watch it on occasion when I’m in the US.	Eu não me declararia um ávido seguidor do programa da Ellen, embora eu assista a ele esporadicamente quando estou nos EUA.
What makes you so special?	O que te faz tão especial?
Tom isn't a good salesman.	Tom não é um bom vendedor.
You're single.	Tu és solteiro.
I thought it was hilarious.	Achei hilário.
Tom bought a hot dog for Mary.	Tom comprou um cachorro-quente para Maria.
He is similar to his father.	Ele é parecido ao pai.
I've already explained everything.	Já expliquei tudo.
There were blood stains on the shirt that the police found under Tom's bed.	Havia manchas de sangue na camisa que a polícia encontrou debaixo da cama de Tom.
I haven't seen a single cat this whole trip.	Eu não vi um gato nessa viagem inteira.
My father asked me if i can shorten his pants.	Meu pai me perguntou se eu posso encurtar as calças dele.
That tailor always uses very good material.	Esse alfaiate sempre usa material muito bom.
You were happy.	Vocês eram felizes.
I can read English.	Sei ler em inglês.
Wait till I finish eating.	Esperem até eu terminar de comer.
Please write down what he says.	Por favor, escreva o que ele diz.
Can a cube that does not last for any time at all, have a real existence?	Pode um cubo que não dura por nenhum tempo, ter uma existência real?
Are you sure his name is Tom?	Tem certeza de que o nome dele é Tom?
Tom isn't a very good chess player.	Tom não é um jogador de xadrez muito bom.
He is cranky.	Ele é ranzinza.
How do you know?	Como sabes?
I'd like to be with Tom.	Eu gostaria de estar com o Tom.
Do you think of me as a cool guy?	Você me acha um cara legal?
I can't lie to her again.	Eu não posso mentir para ela novamente.
Thanks to you, I've learned a lot.	Graças a você, eu aprendi muito.
How long have you liked Tom?	Há quanto tempo você gosta de Tom?
Jim was upset for the number of immigrants coming from Mexico.	Jim estava irritado com o número de imigrantes que vinham do México.
The kids died without any justice.	As crianças morreram e nunca foram justiçadas.
How many times have you been absent from this class?	Quantas vezes você faltou a esta aula?
Tom wrote it down.	Tom escreveu embaixo.
Tom wants to do that, and I don't blame him.	Tom quer fazer isso, e não lhe culpo.
I phone you but you don't pick up.	Eu telefono, mas você não atende.
Is this you?	É você?
There is little hope of his winning the election.	Há pouca chance em vencer estas eleições.
Don't come into my room.	Não entrem no meu quarto.
We have a problem we need to discuss.	Nós temos um problema que precisamos discutir.
My head is spinning.	A minha cabeça está rodando.
I looked at my watch and saw that I was going to be late.	Eu olhei para o relógio e vi que eu ia chegar atrasado.
I was eventually released.	Afinal fui libertado.
Where are your fields?	Onde ficam os seus campos?
Something very strange just happened.	Algo muito estranho acaba de acontecer.
It's a good question.	Boa pergunta.
You admitted that you were wrong.	Você admitiu estar errada.
She is a young student.	Ela é uma jovem estudante.
I'm not sure.	Eu não tenho certeza.
Tom gave a speech in French.	O Tom proferiu um discurso em francês.
You'll get over it.	Você se recuperará disso.
Will Tom survive?	O Tom vai sobreviver?
I was already convinced.	Eu já estava convencido.
He is having difficulty breathing.	Ele está tendo dificuldade ao respirar.
I'd like three dozen donuts.	Gostaria de três dúzias de rosquinhas.
Did you swim?	Você nadou?
I wish there were more men like Tom.	Eu gostaria que houvesse mais homens como Tom.
Why do you like it?	Por que você gosta disso?
Please make sure your username and password are correct.	Por favor, confira se seu nome de usuário e sua senha estão corretos.
Why don't you try doing that a different way?	Por que você não tenta fazer isso de uma forma diferente?
Tom didn't bring a camera.	Tom não trouxe uma câmera.
I think I'm ready.	Eu acho que estou preparado.
Tom is an imbecile.	Tom é um imbecil.
He planned the project along with his colleagues.	Ele bolou o projeto ao lado de seus colegas.
Participate!	Participa!
Putting chlorine in drinking water is the biggest advance in public health.	Pôr cloro na água potável representa o maior avanço para a saúde pública.
Our delicious coffee is made from freshly roasted coffee beans.	Nosso delicioso café é feito de grãos de café recentemente torrados.
He looked as if nothing had happened.	Para ele era como se nada tivesse acontecido.
I'm sure I'll be fine.	Estou certo de que ficarei bem.
He started again.	Ele recomeçou.
What caused this to happen?	O que fez que isto acontecesse?
I think that these paintings are very original.	Acho que esses quadros são muito originais.
Tom and Mary grew up in a poor neighborhood in Boston.	Tom e Mary cresceram em um bairro pobre de Boston.
See you in an hour.	Vejo você em uma hora.
I'll show you.	Vou te mostrar.
I'll fix that.	Vou consertar isso.
I don't think that Tom made it up.	Eu não acho que Tom inventou isso.
I like being bald.	Eu gosto de ser careca.
You whispered.	Você sussurrou.
Tom said Mary was asleep when he got home.	Tom disse que Maria estava dormindo quando ele chegou em casa.
They don't work with us anymore.	Eles não trabalham mais conosco.
Ben's not as young as he looks.	Ben não é tão jovem quanto parece.
Tom promised that he'd do that right away.	O Tom prometeu que faria isso imediatamente.
That was fabulous.	Foi fabuloso.
He became similar to us, through Jesus Christ, the eternal Son of God.	Ele se tornou semelhante a nós, por meio de Jesus Cristo, o eterno Filho de Deus.
I don't know when.	Não sei quando.
We have to find out why this happened.	Temos que descobrir por que isso aconteceu.
Fadil was looking for a cheap house in Cairo.	Fadil estava procurando uma casa barata no Cairo.
Sami stole Layla's phone and car.	Sami roubou o telefone e o carro de Leila.
Tom doesn't know if it is true or not.	Tom não sabe se é verdade ou mentira.
For understandable reasons, they have been rejected.	Por razões compreensíveis, eles foram rejeitados.
Why do you always arrive so late?	Por que você sempre chega tão tarde?
John is mad about pop music.	John é louco por música pop.
We won't need your help today.	Não precisaremos de sua ajuda hoje.
We quit.	Nós desistimos.
Everyone that I know can speak French.	Todo mundo que conheço sabe falar Francês.
We must pay atention to our children.	É preciso dispensar atenção às nossas crianças.
I never heard from her again.	Nunca mais soube dela.
I don't have a dog.	Não tenho cachorro.
Eat whichever one you like.	Coma o que gostar.
Everyone is master in his own house.	Todo mundo manda em sua própria casa.
Put on some music.	Põe um pouco de música.
We're competitors.	Somos concorrentes.
Things weren't as bad I as expected them to be.	As coisas não estavam tão ruins como eles esperavam estar.
I appreciate your kind words.	Agradeço vossas palavras gentis.
"""One Hundred Years of Solitude"" is considered the most important work of Spanish literature since ""Don Quixote."""	"""Cem Anos de Solidão"" é considerada a obra mais importante da literatura espanhola desde ""Don Quixote""."
I traveled to Boston.	Eu viajei para Boston.
Yesterday was hot.	Ontem fez muito calor.
I can be good.	Eu posso ser bom.
They were, though, badly wrong because their samples were skewed.	Eles estavam, no entanto, muito enganados porque as suas amostras estavam enviesadas.
Tom usually goes to the movies on Friday night.	Tom geralmente vai ao cinema sexta-feira à noite.
If I'm not mistaken, I think she is sleeping.	Se espírito não me engano, acho que ela está dormindo.
Can you get that medicine over the counter or do you need a prescription?	Dá para comprar esse remédio sem prescrição ou precisa de receita?
Tom knew that Mary was studying French.	Tom sabia que Maria estava estudando francês.
I know all about you.	Eu sei tudo sobre você.
No doubt.	Sem dúvida.
I don't know why I cried so much.	Eu não sei porque eu chorei tanto.
Tom was caught.	Tom foi pego.
You're in trouble if you ate that cake!	Você está com problemas se comeu aquele bolo!
Tom asked me when I was going to buy a new computer.	O Tom me perguntou quando eu ia comprar um novo computador.
Tom says it didn't happen that way.	O Tom afirma que isso não aconteceu dessa forma.
Google's search results are usually more useful than those of Yahoo's.	Os resultados de pesquisa do Google são normalmente mais úteis do que os do Yahoo.
Tom said no one was awake.	Tom disse que ninguém estava acordado.
Tom coughed up some blood.	Tom tossiu sangue.
He was very naughty when he was a little boy.	Ele era muito travesso quando ele era um garoto.
Thanks for existing.	Obrigado por existir.
The tenderloin is cut from a muscle that does not do much work, so it is not tough.	O filé é cortado de um músculo que não dar muito trabalho, por isso que não é duro.
They are always quarreling.	Eles brigam sempre.
Why did Sami resign from the clinic?	Por que Sami saiu da clínica?
Come and see me whenever you are free.	Sempre que você estiver livre venha e me veja.
We need to come up with a new strategy.	Temos que pensar em uma nova estratégia.
That's a beautiful song.	Essa é uma linda canção.
Tom won't assist Mary.	Tom não vai auxiliar Mary.
Tom liked to play chess.	Tom gostava de jogar xadrez.
I can't ignore this situation anymore.	Eu não posso ignorar mais esta situação.
There are no guarantees.	Não há garantias.
Every Sunday the cat sits on the windowsill and watches the birds.	Todo domingo o gato fica sentado no peitoril da janela observando os passarinhos.
I found it.	Eu achei.
I can't do that again.	Eu não posso fazer isso novamente.
Tom interrupts Mary all the time.	Tom interrompe Mary o tempo todo.
You're polite.	Você é educada.
Tom forgot that he'd promised to call Mary last night.	Tom esqueceu que havia prometido ligar para Mary ontem à noite.
I haven't read either book.	Não li nenhum dos dois livros.
You'll help, won't you?	Você vai ajudar, não vai?
Don't dwell on your past failures.	Não dê muita importância a seus passados insucessos​​.
I didn't yell at Tom.	Eu não gritei com Tom.
I have done a good job.	Tenho feito um bom trabalho.
That reminds me.	Isso me faz lembrar.
The Olympic Games were born in Greece.	Os Jogos Olímpicos nasceram na Grécia.
Please hold the line a moment.	Aguarde um momento na linha, por favor.
Tom yelled at everybody.	Tom gritou com todo mundo.
Could you bring me a towel, please?	Pode me trazer uma toalha, por favor?
This box is almost empty.	Essa caixa está quase vazia.
How dare you call me a racist!	Como ousa me chamar de racista!
Tom was really shocked.	Tom estava realmente chocado.
What's the first thing you're going to do?	Qual é a primeira coisa que você vai fazer?
I need this one.	Preciso dessa.
Tom can solve difficult problems with ease, but he is weak when it comes to simple arithmetic such as the times table.	Tom consegue resolver problemas difíceis com facilidade, mas ele é fraco com a aritmética simples, como tabelas de multiplicação.
Tom's parents usually speak French to each other.	Os pais de Tom costumam falar Francês um com o outro
If I remember correctly, he has five siblings.	Se não me engano, ele tem cinco irmãos.
I didn't know Tom and Mary were waiting for me.	Eu não sabia que o Tom e a Mary estavam me esperando.
This house is infested with termites.	Esta casa está infestada de cupins.
Tom is usually home on Sundays.	Normalmente, o Tom está em casa aos domingos.
Do you still have my number?	Você ainda tem o meu número?
What are you doing with the water over there?	O que você está fazendo com a água aí?
I went shopping yesterday.	Fui às compras ontem.
You don't seem to be very tired.	Você não parece estar muito cansado.
I don't see the cursor.	Não estou vendo o cursor.
I met Tom on the street.	Eu encontrei o Tom na rua.
Tom's not really that into sports.	Tom não é muito interessado em esportes.
They'll be fine.	Elas vão ficar bem.
We all think that we're unique.	Todos pensamos que somos únicos.
You're in grave danger.	Você está em grande perigo.
I think that you're good-looking.	Eu acho que vocês são bem parecidos.
My country has beautiful beaches, lush nature and a perennial spring climate.	Meu país tem lindas praias, natureza luxuriante e clima de perene primavera.
I take part of the alphabet mafia.	Eu sou parte da máfia do alfabeto.
You've made a mess of everything.	Você fez uma bagunça em tudo.
I've just arrived from the UK.	Acabei de chegar do Reino Unido.
Why don't you ask Tom if he'd like to come with us?	Por que você não pergunta ao Tom se ele gostaria de vir conosco?
Do you know me?	Vós me conheceis?
What are you wearing?	O que você está vestindo?
The mild summer sun made Markku drowsy.	O suave sol de verão tornou o Markku sonolento.
Some sentences admit several possibilities of translation.	Há frases que admitem várias possibilidades de tradução.
He got 90% in English.	Ele tirou 90 em Inglês.
Please, don't yell!	Não grites, por favor!
I thought you might want to go swimming with us.	Achei que você pudesse ir nadar com a gente.
Tom has two brothers. Neither of them live in Boston.	Tom tem dois irmãos. Nenhum deles mora em Boston.
I wish I'd been born Canadian.	Eu queria ter nascido canadense.
In 1853, the first blue jeans came out.	Em 1853 apareceu o primeiro jeans.
Where do I do my homework?	Onde faço meu dever de casa?
Some day your dream will come true, too.	Algum dia o seu sonho também se tornará realidade.
This heater runs on oil.	Esse aquecedor funciona com óleo.
Tom isn't as happy as he seems to be.	Tom não é tão feliz quanto parece.
I like children.	Eu gosto de crianças.
I have heartburn.	Estou com azia.
You'll get it someday.	Você conseguirá um dia.
The match ended in a draw.	O jogo acabou empatado.
You never have time for important things!	O senhor jamais tem tempo para coisas importantes!
They spoke again.	Eles falaram novamente.
Tom definitely didn't want to be disturbed.	Tom definitivamente não queria ser incomodado.
There was little furniture in the room.	Havia poucos móveis na sala.
I study French. I also study German.	Eu estudo francês. Eu também estudo alemão.
Tom won't be that hard to convince.	Não será muito difícil persuadir o Tom.
Tom was afraid to die.	Tom estava com medo de morrer.
You're demanding.	Você é exigente.
Recently.	Recentemente.
Tom doesn't deserve to be punished.	Tom não merece ser punido.
I don't want you to do that, Tom.	Eu não quero que você faça isso, Tom.
Several people in our office can speak French.	Várias pessoas em nosso escritório conseguem falar Francês.
Soccer is the sport that I prefer.	Futebol é o esporte que eu prefiro.
Almost all of his predictions were wrong.	Quase todas as suas previsões estavam erradas.
Bank services are getting more and more expensive.	Os serviços bancários estão ficando cada vez mais caros.
Would you please wait for a few minutes?	Você poderia esperar alguns minutos, por favor?
Don't you know your name?	Você não sabe o seu nome?
Why don't you go to Malta?	Por que vocês não vão para Malta?
The police eventually arrested Tom.	A polícia acabou prendendo Tom.
You are mad.	Você é doida.
He was humiliated by her.	Ele foi humilhado por ela.
I won't forget Tom.	Eu não vou esquecer Tom.
He is not a friend, but an acquaintance.	Ele não é um amigo, é um conhecido.
Everyone regarded him as a great singer.	Todos consideravam-no um ótimo cantor.
We should do this again.	A gente deveria fazer isso de novo.
Who's not busy?	Quem não está ocupado?
I can't tell you how much I miss Tom.	Eu não consigo te dizer o quanto eu sinto falta do Tom.
Tell them that.	Diga isso para eles.
I bet you're busy.	Aposto que está ocupada.
I'd like to be like Tom.	Eu gostaria de ser como o Tom.
I'm going to be rich. I just won the lottery.	Vou ficar rico. Acabo de ganhar na loteria.
Tom cooked rice for everyone.	Tom fez arroz para todos.
This collage of images from NASA's Cassini spacecraft shows Saturn's northern hemisphere and rings as viewed with four different spectral filters.	Esta colagem de imagens obtidas pela nave espacial Cassini da NASA mostra o hemisfério norte e os anéis de Saturno conforme visualizados com quatro filtros espectrais diferentes.
How long do you need to learn German?	Quanto tempo você precisa para aprender alemão?
Tom is really talented, isn't he?	Tom é muito talentoso, não é?
I'm always busy on Mondays.	Eu estou sempre ocupado às segundas.
On Wednesday, the Special Inspector General for Afghanistan Reconstruction, or SIGAR, released its audit of the project, saying that once the U.S. or any donor provides its contributions to the fund, neither the World Bank nor USAID can account for where and how the funds are being spent.	Na quarta-feira, o Inspetor Geral Especial para a Reconstrução do Afeganistão, ou SIGAR, publicou a sua auditoria ao projeto, dizendo que a partir do momento em que os Estados Unidos ou qualquer doador entrega as suas contribuições para o fundo, nem o Banco Mundial nem a USAID são capazes de prestar contas sobre onde ou como os fundos estão a ser gastos.
Tom seems to be objective.	Tom parece ser objetivo.
The air conditioner is out of order.	O ar condicionado está com defeito.
Tom looked after the baby.	Tom cuidou do bebê.
Are things OK with you?	As coisas estão bem com você?
Are you sure this thing is safe?	Você tem certeza de que isso é seguro?
I'll have dinner.	Eu vou jantar.
We celebrate Tanabata in July.	Nós celebramos Tanabata em julho.
I can't imagine my life without her.	Eu não consigo imaginar minha vida sem ela.
I accept, but only under one condition.	Eu aceito, mas apenas sob uma condição.
I've tried everything I know.	Eu tentei tudo que eu conheço.
Tom arrived just in time to catch the train.	Tom chegou na hora exata para pegar o trem.
Can we hold a meeting about this tomorrow?	Podemos ter uma reunião sobre isso amanhã?
I'm not interfering.	Eu não estou interferindo.
I'd like a hat like that.	Eu gostaria de um chapéu assim.
I only went over there to help.	Eu somente fui aí para ajudar.
She couldn't stop the tears.	Ela não conseguia conter as lágrimas.
I have a cat.	Eu tenho um gato.
I'm sorry if I frightened you.	Sinto muito se te assustei.
Who do you like?	De quem você gosta?
I think it's still too early to celebrate.	Eu acho que ainda é cedo demais para comemorar.
I bought what I needed.	Eu comprei o que precisava.
Everybody agrees with you.	Todos concordam convosco.
I would take it as a sign.	Aceitaria como um sinal.
I am going to see the doctor this afternoon.	De tarde eu vou para o médico.
I get your point.	Estou entendendo o que você quer dizer.
If possible, I would like to go home now.	Se possível, gostaria de ir para casa agora.
It's very fragile.	É muito frágil.
Almost no girls play video games.	Quase nenhuma garota joga video game.
Tom is having fun.	Tom está se divertindo.
Which one is more expensive?	Qual é o mais caro?
I talked too much.	Eu falei demais.
Tom threw Mary out of the bar.	Tom expulsou Maria do bar.
We've taken care of all the details.	Cuidamos de todos os pormenores.
We're always complaining.	Estamos sempre reclamando.
Brides and others in search of elegant personal protective equipment (PPE) are snatching up the Indonesian-born designer’s creations to protect against the coronavirus.	Noivas e não só em busca de equipamento de proteção individual (EPI) elegante têm vindo a agarrar as criações da estilista nascida na Indonésia para se protegerem do coronavírus.
Lie down on the bed.	Deite-se na cama.
I'm not too busy.	Não estou muito ocupado.
This is OK.	Está bem.
I think that I can do that again.	Eu acho que posso fazer isso novamente.
Does it ever rain in Greece?	Será que na Grécia chove?
Tom and Mary have sex about once a week.	Tom e Maria fazem sexo cerca de uma vez por semana.
Speak well of the dead.	Fale bem dos mortos.
Tom will call you.	Tom vai te chamar.
I don't believe in your stories.	Não acredito em suas histórias.
What were you doing now?	O que você estava fazendo agora?
And God said: Love!	E Deus disse: Ame!
