Fly!	Voe!
That revelation came as Chilton was studying a plant infection called crown gall.	Essa revelação surgiu enquanto Chilton estudava uma infeção das plantas chamada galha-da-coroa.
Tom is already in love with Mary.	Tom já está apaixonado pela Mary.
I think it was the best computer I've ever had in my life.	Acho que foi o melhor computador que eu já peguei em minha vida.
They always complain.	Sempre se queixam.
Let's get it over with.	Vamos acabar logo com isso.
I haven't done yet what you asked me to do since I haven't had time till now.	Eu ainda não fiz o que você me pediu porque eu não tive tempo até agora.
I do wonder - why is he late?	Eu fico imaginando - por que ele está atrasado?
I wish that I hadn't taken the bus.	Eu gostaria de não ter pegado o ônibus.
They'll never make it.	Eles jamais farão isso.
Nobody says you can't go fishing.	Ninguém está dizendo que você não pode ir pescar.
Tom is in really good health.	Tom tem uma saúde muito boa.
I told you to stop bothering me.	Eu te falei para deixar de me perturbar.
We arrested Tom.	Nós prendemos o Tom.
All the boys were whistling and cheering.	Todos os garotos assobiavam e regozijavam.
Tom was there to help.	Tom estava lá para ajudar.
I never turn my back on a friend in need.	Jamais virei as costas para um amigo em apuros.
I should've thought of that earlier.	Deveria ter pensado nisso mais cedo.
Our store isn't open.	Nossa loja não está aberta.
A week later, she died.	Uma semana depois, ela morreu.
Both girls wear white suits.	Ambas as garotas estão usando conjuntos brancos.
Tom told me I'd never win again.	O Tom me disse que eu não venceria de novo.
I don't like the changes that you've made.	Não gostei das alterações que você fez.
Tom thinks I don't need to do that.	O Tom acha que não preciso fazer isso.
Oh my God, I so hate this movie!	Ai, meu Deus, como eu odeio esse filme!
Completely different from Tom was his boyfriend John, who was amicable and philanthropic.	Completamente diferente de Tom era seu namorado John, que era amigável e filantrópico.
Tom didn't have it.	Tom não o teve.
You are thirsty.	Os senhores estão com sede.
I didn't think that you'd noticed.	Eu não pensei que você tivesse notado.
Tom was in the house.	Tom estava na casa.
I have a trailer.	Eu tenho um trailer.
He is old enough to drive a car.	Ele é velho suficiente para dirigir um carro.
There was a chain-reaction crash during rush hour.	Houve um acidente em cadeia durante o horário de pico.
Achieving the title of Grand Master in chess is comparable to receiving a black belt in judo.	Alcançar o título de Grande Mestre no xadrez é algo comparável a receber a faixa preta no judô.
We must take care of ourselves.	Nós devemos nos cuidar.
He's painting his house.	Ele está pintando a casa dele.
Do you hate them?	Você os odeia?
Just do that.	Apenas faça.
I'll be flying to Germany.	Voarei para a Alemanha.
I was completely devastated.	Eu fiquei completamente devastado.
I think he is a good man.	Eu acho que ele é um bom homem.
Those are Tom's.	São do Tom.
Fadil was more and more isolated.	Fadil estava cada vez mais isolado.
I work simply because I like to work.	Eu trabalho simplesmente porque gosto de trabalhar.
The cows are eating grass.	As vacas estão comendo capim.
Tom never talked to me.	Tom nunca falou comigo.
No one is able to run as fast as Tom.	Ninguém é capaz de correr tão rápido quanto Tom.
Cutting in line is extremely rude.	Furar fila é uma grande falta de educação.
Tom is Mary's imaginary friend.	Tom é o amigo imaginário de Mary.
You need to go there yourself.	Você mesmo precisar ir lá.
I'm afraid that he can't do it.	Temo que não conseguirá.
How touching!	Que tocante!
I like the idea.	Eu gosto da ideia.
You and I are good friends, but we have little in common.	Você e eu somos boas amigas, mas nós temos pouco em comum.
Her father nearly caught her having sex with her boyfriend.	O pai dela quase a pegou fazendo amor com o namorado.
Tom only made a few mistakes.	Tom cometeu apenas alguns erros.
Tom is really having a hard time.	Tom está realmente passando um momento difícil.
Tom was lobotomized.	Tom foi lobotomizado.
Tom thinks you should study French.	Tom acha que vocês deveriam estudar francês.
You should do it.	Vocês deveriam fazê-lo.
If you're planning to go to Australia, let's go together.	Se as senhoras estão planejando ir à Austrália, vamos juntos.
She has as many books as her father does.	Ela tem tantos livros quanto seu pai.
The soul is different from the body.	A alma é diferente do corpo.
At last he unfolded his plans for their future.	Finalmente, ele revelou seus planos para o futuro deles.
Tom made fun of Mary's accent.	Tom caçoou do sotaque da Mary.
If you eat too much, you'll become fat.	Se você comer muito, vai ficar gorda.
I'll be in the office.	Estarei no escritório.
Mary froze, afraid to move.	Mary congelou, com medo de se mexer.
You should come back home before it gets dark.	Você deve voltar para casa antes de escurecer.
How adventurous!	Que aventureiro!
Tom told me that he doesn't like carbonated drinks.	Tom me disse que não gosta de bebidas gaseificadas.
This text has no commas.	Este texto não tem nenhuma vírgula.
I'm glad that Tom didn't do that.	Fico feliz que o Tom não tenha feito isso.
I need to leave before Tom arrives.	Preciso ir antes que Tom chegue.
Absolute freedom is possible.	Liberdade total é possível.
Have you ever tasted soup this good before?	Você já havia provado uma sopa tão boa como esta?
I know you have a girlfriend.	Eu sei que você tem namorada.
We don't have any bread left.	Não temos mais pão.
Tom is a graduate student.	Tom é um estudante de pós-graduação.
We were waiting for you.	Estávamos esperando por você.
These clothes are all Tom's.	Todas essas roupas são do Tom.
Tom is always too sleepy for sex.	Tom está sempre muito sonolento para fazer sexo.
I promise I'll be back in less than an hour.	Eu prometo que vou estar de volta em menos de uma hora.
He's moving in with his girlfriend.	Ele está se mudando junto com sua namorada.
It doesn't hurt.	Isso não machuca.
You have made a fatal mistake.	Você cometeu um erro fatal.
It's important to take care of your skin.	É importante cuidar da sua pele.
Tom wasn't wearing a hat.	Tom não estava usando chapéu.
I have wonderful news.	Tenho ótimas notícias.
The match for the 2020 FIDE World Championship, postponed because of the Coronavirus pandemic (COVID-19), will now be held from November 26th to December 16th, 2021, alongside the World Expo in Dubai, UAE, between current world champion Magnus Carlsen and GM Ian Nepomniachtchi, who won the 2020 Candidates Tournament.	O match pelo Campeonato Mundial da FIDE de 2020, adiado por causa da pandemia do Coronavírus (COVID-19), será realizado agora, de 24 de novembro a 16 de dezembro de 2021, juntamente com a World Expo em Dubai, Emirados Árabes Unidos, entre o atual campeão mundial Magnus Carlsen e o GM Ian Nepomniachtchi, que venceu o Torneio de Candidatos de 2020.
How did they die?	Como elas morreram?
There's a water shortage in this area.	Há escassez de água nesta área.
None of them would admit to being the culprit.	Nenhum deles admitiria ser o culpado.
Christmas is just around the corner.	O Natal está chegando.
Do you believe in omens?	Vocês acreditam em presságios?
Tom and Mary live in a very nice house.	Tom e Mary moram em uma casa muito bonita.
The airplane was going to carry them to Bauru.	O avião ia levá-los a Bauru.
He's a year and five months old, but he can't walk yet.	Ele tem um ano e cinco meses, mas ainda não consegue andar.
Any clues?	Alguma pista?
Checkers can be played on a board with 64 (8X8) or 100 (10X10) squares, alternately light and dark.	O jogo de damas pode ser praticado em tabuleiro de 64 (8X8) ou 100 (10X10) casas, alternadamente claras e escuras.
Nobody says you can't go fishing.	Ninguém está dizendo que vocês não podem ir pescar.
I love the way you sing.	Eu adoro o teu jeito de cantar.
Are you going to be there?	Você vai estar lá?
Doesn't your job start tomorrow?	O seu trabalho não começa amanhã?
This table's surface is smooth.	A superfície desta mesa é polida.
Would you like any more?	Quer mais?
According to the weather forecast, there'll be more rain on the way.	De acordo com a previsão do tempo, vem mais chuva por aí.
Tom eventually pleaded guilty.	Tom, finalmente, se declarou culpado.
I've agreed to help Tom.	Eu concordei em ajudar o Tom.
Be careful not to make a mess.	Tenha cuidado para não fazer bagunça.
He asked me on a date.	Ele me pediu em namoro.
Do you have any cheaper seats?	Você tem lugares mais baratos?
That's my business.	Isso é assunto meu.
I fear there has been some misunderstanding.	Temo que tenha havido algum mal entendido.
We'll arrive within the hour.	Chegaremos dentro de uma hora.
The same kind of thing happens in Australia.	O mesmo tipo de coisa acontece na Austrália.
I wish I could join the WhatsApp Group.	Gostaria de poder participar do Grupo de WhatsApp.
I'm sorry I couldn't help her.	Peço desculpa, não pude ajudá-la.
Don't you understand what's happening here?	Não entendeis o que está acontecendo aqui?
Have you ordered?	Já fez o seu pedido?
I wish we had more time.	Queria que tivéssemos mais tempo.
When do you study?	Quando é que você estuda?
No gain, no lose, we are fully equal.	Sem ganhos, sem perdas, estamos completamente iguais.
My parents are old.	Meus pais são idosos.
I'm used to being ignored by my parents.	Eu estou acostumado a ser ignorado pelos meus pais.
Do you want to come inside?	Você quer vir para dentro?
I'm used to losing.	Estou acostumado a perder.
Tom wants to play.	Tom quer brincar.
Nobody was paying attention.	Ninguém estava prestando atenção.
Have you arrived yet?	Você já chegou?
He made a fool of his teacher.	Ele fez o professor de bobo.
Can I have your mobile number?	Você me empresta o seu celular?
Tom challenged Mary.	Tom desafiou Maria.
He worked as a diplomat for many years.	Ele trabalhou como diplomata durante muitos anos.
Can I use this area to raise vegetables?	Posso usar esse espaço para cultivar plantas?
That's our planet.	Esse é o nosso planeta.
I didn't know what to do then.	Eu não sabia o que fazer, então.
Tom ended up moving back to Australia.	O Tom acabou voltando para a Austrália.
You said you'd help.	Você disse que ajudaria.
Why do you hang out with Tom all the time?	Por que você sai com o Tom o tempo todo?
This only happened once.	Isto só aconteceu uma vez.
I try.	Eu tento.
Open carefully.	Abram com cuidado.
How much were you paid to do that?	Quanto lhes pagaram para fazer isso?
He is too little to take the book from the shelf.	Ele é muito pequeno para pegar o livro da prateleira.
It's complicated, you know.	É complicado, você sabe.
The bridge is being repainted.	A ponte está sendo repintada.
Fadil was arrested and stood trial for first degree murder.	Fadil foi preso e submetido a julgamento por assassinato em primeiro grau.
They argued about the sentence.	Eles discutiram sobre a frase.
Sorry, but we can't accept your request.	Lamentamos, mas não podemos aceitar o seu pedido.
That's an original idea.	Essa é uma ideia original.
I ordered pizza.	Eu pedi pizza.
Are you good with numbers?	Você é boa com números?
Jelle Van Loon, of the International Maize and Wheat Improvement Center, demonstrates a prototype hand planter.	Jelle Van Loon, do Centro Internacional para o Melhoramento do Milho e Trigo, demonstra o protótipo de um plantador manual.
At chess, a pawn that reaches the last row ahead is promoted to a queen. At checkers, a checker that realizes an identical feat is promoted to a king.	No xadrez, um peão que atinja a última fila à sua frente será promovido a rainha (dama). Nas damas, uma peça que realize façanha idêntica será promovida a dama (rei).
I want to do it.	Eu quero fazer isso.
He planned the project along with his colleagues.	Ele bolou o projeto ao lado de seus colegas.
I didn't know exactly what Tom was doing.	Eu não sabia exatamente o que o Tom estava fazendo.
I'd rather not get involved at the moment, thanks.	Prefiro não me envolver no momento, obrigado.
Maybe you should call Tom.	Talvez você devesse ligar para o Tom.
Yana studies astrophysics in Yekaterinburg.	Yana estuda astrofísica em Yekaterinburg.
Stop that thief!	Detenham aquele ladrão!
All new consoles should be backward compatible.	Todos os novos consoles devem ser compatíveis com versões anteriores.
Three out of four Americans believe in the existence of paranormal phenomena.	Três em cada quatro americanos acreditam na existência de fenômenos paranormais.
Mary is in her car waiting for Tom.	Mary está no carro dela, esperando por Tom.
Most people retire at the age of sixty.	Muitas pessoas aposentam-se aos sessenta.
I did hesitate just a bit.	Eu hesitei um pouco.
Please get out of the pool.	Saiam, por favor, da piscina.
I don't think of Tom as shy, so much as introverted.	Não acho que Tom é tímido, muito menos introvertido.
Tom plays the harmonica by ear.	Tom toca gaita de ouvido.
It's driving me crazy.	Está a dar comigo em doido.
I bought the book.	Comprei o livro.
Don't count Tom out yet.	Não deixe de contar com Tom ainda.
She couldn't stop the tears.	Ela não conseguia conter as lágrimas.
Tom wasn't questioned by the FBI.	Tom não foi questionado pelo FBI.
Fadil was charged with second degree aggravated murder.	Fadil foi acusado de homicídio culposo com agravante.
It must be removed.	Isso precisa ser removido.
Nothing's preventing you from leaving.	Nada está impedindo que tu saias.
Tom has gotten married.	Tom se casou.
The buildings are drowning in snow.	Os prédios estão afundando em neve.
I'd no idea you were still alive.	Eu não fazia ideia de que você ainda estava viva.
She stopped sewing and had some tea.	Ela parou de costurar e tomou chá.
The quake damaged many old buildings.	O terremoto danificou muitos edifícios antigos.
Tom is back to normal.	Tom está de volta ao normal.
You realize it's very different?	Dá para perceber que é muito diferente?
It's no use pretending to make me believe that I believe things you don't believe!	Não adianta querer me fazer acreditar que eu acredito em coisas nas quais você não acredita!
I'll take you there.	Eu te levarei lá.
Tom went back outside.	Tom voltou lá para fora.
How are the eggs?	Como estão os ovos?
Tom said that he wanted to forget about it.	Tom disse que queria se esquecer disso.
The grapes are getting mature.	As uvas estão ficando maduras.
Mary bought some bread.	Mary comprou pães.
It's a hot day.	É um dia de calor.
How do you relax?	Como você relaxa?
You got paid, didn't you?	Você foi pago, não foi?
We bought a pool table but have yet to play a single game.	Compramos uma mesa de bilhar, mas ainda não jogamos nenhuma partida.
I'm not reading a newspaper.	Eu não estou lendo um jornal.
My father won't be busy tomorrow.	Meu pai não estará ocupado amanhã.
Tom's parents were murdered.	Os pais de Tom foram assassinados.
I'm still working hard.	Eu ainda estou trabalhando duro.
I'm surprised Tom gave his clarinet away.	Estou surpreso que Tom tenha dado o seu clarinete.
This won't help.	Isso não vai ajudar.
Tom and Mary were tired of waiting.	Tom e Maria estavam cansados de esperar.
To tell the truth, I've already seen that movie.	Para falar a verdade, eu já vi esse filme.
He's trying to commit suicide.	Ele está tentando cometer suicídio.
Everybody but Tom has already eaten.	Todos mundo, menos Tom já comeu.
They were able to mitigate the problem by stopping sales.	Eles conseguiram mitigar o problema, através da suspensão de vendas.
The funeral is tomorrow.	O funeral é amanhã.
Are there movies on the plane?	Tem filmes no avião?
I usually have lunch there.	Eu costumo almoçar lá.
Don't forget to sign the check.	Não se esqueça de assinar o cheque.
Are you paid well?	Você ganha bem?
They never showed up.	Eles nunca apareceram.
"""I know Tom won't believe me."" ""I don't believe you either."""	"""Eu sei que Tom não vai acreditar em mim."" ""Eu também não acredito em você."""
They're all lying.	Estão todos mentindo.
The combination is a tactical maneuver, with material sacrifice, aiming to obtain some advantage in the short or long term.	Combinação é uma manobra tática, com sacrifício de material, visando obter alguma vantagem no curto ou no longo prazo.
I am a citizen of Chiba, but work in Tokyo.	Eu sou um cidadão de Chiba, mas trabalho em Tóquio.
The tiger is hiding in a bamboo thicket.	O tigre está escondido em um matagal de bambu.
Tom didn't have anywhere to go.	Tom não tinha para onde ir.
Could you translate this document into French for me?	Será que você poderia traduzir para mim este documento para o francês?
I'd prefer to speak French.	Eu preferiria falar francês.
Fadil committed suicide after finding Layla in bed with another man.	Fadil cometeu suicídio depois de encontrar Layla na cama com outro homem.
Currently, Tom lives in Australia.	Atualmente, Tom mora na Austrália.
They couldn't stop laughing.	Eles não podiam parar de rir.
My brother is his lawyer.	Meu irmão é advogado dele.
I heard a scream.	Eu ouvi um grito.
What did they use as a pillow?	O que eles usaram como travesseiro?
I met Tom at the party.	Eu encontrei Tom na festa.
While she lives in sanctuary, her lawyers are filing a motion to petition for asylum because of widespread gang violence in El Salvador.	Enquanto ela reside num santuário, os advogados dela submeterão uma moção de pedido de asilo devido à violência generalizada de gangues em El Salvador.
I asked for a raise.	Eu pedi aumento.
Tom recognized me.	Tom me reconheceu.
You're an awesome teacher.	Você é um ótimo professor.
He was raised in Algeria.	Ele foi criado na Argélia.
I didn't know how to write that.	Eu não sabia como se escrevia isso.
I have plans.	Eu tenho planos.
Tom says he's good at juggling.	O Tom diz que ele é bom em malabarismo.
Can I please use your restroom?	Posso usar o seu banheiro?
It was an evil bunny.	Era um coelho malvado.
Fadil came into an inheritance from his parents.	Fadil recebeu uma herança de seus pais.
I bet Tom didn't know that.	Aposto que Tom não sabia disso.
I have diabetes.	Sou diabético.
Are you sure of it?	Você tem certeza disso?
You're incompetent.	Você é incompetente.
What's the name of that restaurant?	Qual é o nome daquele restaurante?
Did you know there was a secret passage?	Você sabia que havia uma passagem secreta?
Tom says he thinks it won't be possible to do that.	Tom diz que acha que não será possível fazer isso.
Their job is to iron clothes.	O trabalho deles é passar roupas.
I don't speak French at all.	Eu não falo francês.
Tom won't be asleep.	Tom não estará dormindo.
He will learn the facts in the course of time.	Ele aprenderá os fatos com o passar do tempo.
I'll keep your secret.	Eu vou guardar teu segredo.
Tom turned the engine off.	Tom desligou o motor.
I was deported.	Eu fui deportada.
Tom doesn't visit his parents anymore.	Tom já não visita seus pais.
You are not to blame for anything.	Você não é culpado de nada.
This applies to many people.	Isso vale para muita gente.
Are they all ready?	Eles estão todos prontos?
The protesters barricaded the entrance.	Os protestantes colocaram uma barricada na entrada.
Tom is sneaky.	Tom é sorrateiro.
Who have you helped lately?	Quem você tem ajudado ultimamente?
That's the book I've been looking for.	Aquele é o livro que eu estava procurando.
Numerous examples can be given.	Numerosos exemplos podem ser dados.
The wedding is in two weeks.	O casamento é em duas semanas.
I'm sorry, I meant no offence.	Desculpa, eu não quis ofender.
She only reads prose.	Ela lê somente prosa.
You've lied to me before. Why should I trust you now?	Você me mentiu antes. Por que eu deveria confiar em você agora?
Tom was stoned.	Tom estava chapado.
Did you listen at all to what I said?	Vocês chegaram a ouvir o que eu disse?
She has a brother in Tokyo.	Ela tem um irmão em Tóquio.
Tom is quite posh.	Tom é muito bacana.
Tom drank too much at the party last night.	Tom bebeu demais na festa da noite passada.
You know very well what Tom wants.	Você sabe muito bem o que Tom quer.
I'm single again.	Estou solteira de novo.
Tom's fingerprints were on the gun.	As digitais de Tom estavam na arma.
Just saying you don't like fish because of the bones is not really a good reason for not liking fish.	Dizer que você não gosta de peixe só por causa das espinhas não é uma boa razão para não gostar de peixe.
Send this parcel to him in care of his company.	Mande este pacote para ele aos cuidados da empresa dele.
Mike is waiting downstairs.	O Mike está esperando no térreo.
How much will that cost you?	Quanto isso te custará?
It's pretty ugly.	Está muito feio.
I'm not counting on Tom to do that.	Não estou contando com o Tom para fazer isso.
I couldn't let that happen.	Eu não podia deixar isso acontecer.
Did you ask the price?	Você perguntou o preço?
What part of Boston does Tom live in?	Em qual parte de Boston o Tom mora?
Do what I say.	Faça o que eu digo.
What's wrong with my manners?	O que há de errado com os meus modos?
Never forget what matters.	Nunca esqueça o que importa.
Heat turns ice into water.	O calor transforma gelo em água.
Tom and Mary had an enjoyable day together at the zoo.	O Tom e a Mary tiveram um dia proveitoso juntos no zoológico.
My charger stopped working.	Meu carregador parou de funcionar.
A GM does not play looking for combinations, but with a view to creating conditions for them to appear.	Um mestre não joga procurando combinações, mas tendo em vista criar condições para que elas possam aparecer.
I'm going to need some help.	Precisarei de ajuda.
The blue whale, the largest mammal in existence, averages 30 meters in length and can weigh up to 200 tons.	A baleia azul, o maior mamífero que existe, tem em média 30 metros de comprimento e pode pesar até 200 toneladas.
That's got to stop right away.	Isso tem que parar imediatamente.
Tom knew he was being watched.	Tom sabia que estava sendo observado.
I thought you were Canadian.	Pensei que você fosse canadense.
So cute!	Que fofinha!
What Tom said wasn't true.	O que Tom disse não era verdade.
Tom couldn't be right about everything.	Tom não podia estar certo sobre tudo.
We need a ladder.	Precisamos de uma escada.
You had better go.	Seria melhor que você fosse embora.
Tom won't be waiting.	Tom não vai ficar esperando.
Tom says that he's met you several times.	Tom diz que ele já te encontrou várias vezes.
Welcome to Kentucky!	Bem-vindos ao Kentucky!
Tom isn't a religious man.	Tom não é um homem religioso.
I like to get up early.	Eu gosto de acordar cedo.
Pass the sugar, please.	Passe o açúcar, por favor.
You're bound to fail unless you study harder.	Você está sujeito ao fracasso, a menos que você estude mais.
I'm the one who recommended Tom for the job.	Fui eu que recomendei Tom para o emprego.
We're a big family.	Nós somos uma grande família.
He usually uses credit cards instead of cash.	Ele normalmente utiliza cartões de crédito ao invés de dinheiro vivo.
He was chosen to be a member of the team.	Ele foi escolhido para ser o novo membro do time.
I'm afraid that you can't.	Lamento, mas os senhores não podem.
I need a new one.	Eu preciso de um novo.
How do you feel comfortable studying?	De que maneira você se sente confortável para estudar?
I understand completely.	Eu entendo perfeitamente.
Look what I got for you.	Olhe o que eu trouxe para você.
Don't cook for too many people. We're having few people coming over.	Não cozinhes em demasia. Temos poucos convidados.
I wish I would become a doctor.	Gostaria de ser médico.
Tom has decided to leave tomorrow morning.	O Tom decidiu partir amanhã de manhã.
I see what you mean.	Eu entendo o que você quer dizer.
Everyone began boarding the bus.	Todo mundo começou a embarcar no ônibus.
Tom only got the gist of what Mary was saying.	Tom só pegou o principal do que Mary dizia.
Tom is sometimes disrespectful, but Mary isn't.	Tom às vezes é desrespeitoso, mas Mary não.
This is only known by Obama.	Só Obama sabe disso.
We would love to work with you.	Nós adoraríamos trabalhar contigo.
I do not understand what you are trying to say.	Eu não entendo o que você está tentando dizer.
On tatoeba.org, there are great thinkers.	Em Tatoeba há grandes pensadores.
I don't want you to think I'm nuts.	Eu não quero que você ache que estou maluco.
We are very grateful for what you did.	Agradecemos muito o que fizeste.
Tom often goes fishing in the river.	O Tom frequentemente vai pescar no rio.
I'm crazy for you!	Eu estou louco por você.
In the most secret chamber of the castle lay the greatest treasure on earth—the Book of Truth.	Na câmara mais secreta do castelo estava o maior tesouro do mundo: o Livro da Verdade.
He was busy yesterday afternoon.	Ele estava ocupado ontem à tarde.
I just wanted you to look at this.	Eu só queria que você olhasse para isso.
You've never told Tom the truth, have you?	Você nunca contou a verdade ao Tom, não é?
I want to buy some dark glasses.	Quero comprar óculos escuros.
I've already told you what I think.	Eu já lhes disse o que penso.
I finally found a use for this old thing.	Finalmente encontrei uma finalidade para esta velharia.
The President needs to sign a law regulating public spending.	O Presidente deve sancionar uma lei que regula os gastos públicos.
Tom is a graffiti artist.	Tom é um grafiteiro.
Tom isn't going to buy bread.	Tom não vai comprar pão.
I was very drunk.	Eu estava muito bêbado.
I'll keep trying.	Eu vou continuar tentando.
I wanted more time.	Queria mais tempo.
Don't you love me anymore?	Você não me ama mais?
Let me see that list.	Deixe-me ver essa lista.
We aren't wrong.	Não estamos errados.
I've found a better way.	Achei uma maneira melhor.
The universe as we know it is a joint product of the observer and the observed.	O universo qual o conhecemos é o produto combinado do observador e do observado.
His parents approve of the engagement.	Seus pais apoiaram o noivado.
I can't remember things before they happen.	Não consigo me lembrar das coisas antes que aconteçam.
Are you okay?	Tudo bem contigo?
I started this company several years ago.	Comecei nessa empresa há vários anos.
Have you ever lived in Boston?	Você já morou em Boston?
You know this song, don't you?	Você conhece esta canção, não é?
It's useless talking to Tom.	É inútil falar com Tom.
You have to come with me right away.	Você tem que vir comigo imediatamente.
Tom is unfit for the job.	Tom é inapto para o trabalho.
Tell her that I am eating.	Diga para ela que estou comendo.
It was a fake.	Era uma falsificação.
She certainly was a beautiful woman when she was young.	Ela certamente era uma bela mulher quando era jovem.
Leave everything to me.	Deixe tudo comigo.
I told you to leave me alone.	Eu te falei para me deixar sozinha.
They're in trouble.	Elas estão em apuros.
We all wanted revenge.	Todos nós queríamos vingança.
Experts read this as signalling Washington wants to open a new page in transatlantic relations.	Os peritos leem isto como sendo um sinal de que Washington quer virar a página em matéria de relações transatlânticas.
You're Tom's students, aren't you?	Você é aluno de Tom, não é?
Tom and Mary became missionaries.	Tom e Mary se tornaram missionários.
I had the pleasure to try the good Gaucho barbecue.	Tive o prazer de experimentar o bom churrasco gaúcho.
I lost a lot of blood.	Eu perdi bastante sangue.
They wrote to each other.	Eles se escreviam.
Can you finish by then?	Você pode terminar até lá?
Could you please add my friend to your group?	Você poderia adicionar o meu amigo no seu grupo, por favor?
Regardless of how much I think about it, I can't understand.	Independentemente de quanto eu pense sobre isso, não consigo entender.
You don't need me anymore.	Você não precisa mais de mim.
Everyone knows that it was Tom who did that.	Todo mundo sabe que foi Tom quem fez isso.
For your information, I have not insulted you.	Para sua informação, eu não te insultei.
Why don't you like me?	Por que você não gosta de mim?
Have you already met Mr Smith?	Vocês já foram apresentadas ao sr. Smith?
I'm going to buy a house on Park Street.	Eu vou comprar uma casa na Park Street.
Tom said he wasn't going to wait for us.	Tom disse que não iria esperar por nós.
All that I know is that he gave up the plan.	Tudo o que sei é que ele desistiu do plano.
Tom ate half the cake by himself.	Tom comeu metade do bolo sozinho.
She intended to go shopping.	Ela planejou ir fazer compras.
We didn't take notice of her sorrow.	Não nos demos conta de sua tristeza.
Why do you hate Tom?	Por que vocês odeiam o Tom?
Tom seems to have reasons for everything he did.	Tom parece ter razões para tudo que ele fez.
What do you like?	Do que vocês gostam?
I waited all day for someone to come and help me.	Esperei o dia todo por alguém que me ajudasse.
Was Tom surprised?	O Tom ficou surpreso?
If you back out, the deal won't go through.	Se vocês desistirem, não haverá negócio.
Her dress was cheap.	O vestido dela era barato.
I saw you in the park yesterday.	Eu vi você no parque ontem.
Do not fold or crumple this sheet.	Não dobre nem amasse esta folha.
I heard that there were alligators in the sewers.	Ouvi que havia jacarés no esgoto.
Sami is going to the Caribbean.	Sami está indo para o Caribe.
Tom seems comfortable.	Tom parece estar confortável.
You've got better things to do.	Você tem coisas melhores para fazer.
The dog is barking at Tom.	O cachorro está latindo para o Tom.
Why are you drinking coffee at midnight?	Por que vocês estão bebendo café à meia-noite?
I couldn't speak French when I first got there.	Eu não podia falar francês quando cheguei lá.
Do you want to dance with me?	Você quer dançar comigo?
I want to go to the beach with you.	Eu quero ir à praia com você.
Did you remember to lock the door?	Você se lembrou de trancar a porta?
That's likely to happen.	É provável que aconteça.
The bird fell and died.	O pássaro caiu e morreu.
Tom despised Mary.	Tom menosprezava Maria.
Like you just said, we don't have the slightest chance.	Como você acabou de dizer, não temos a menor chance.
When does Tom want to do that?	Quando o Tom quer fazer isso?
He decided to talk.	Ele decidiu falar.
Tom has pleaded innocent.	Tom se declarou inocente.
They know that.	Elas sabem disso.
The children are playing with toys.	As crianças estão brincando com brinquedos.
You'd better send for a doctor.	Seria melhor você chamar um médico.
Don't even touch me.	Nem me toque.
This one's mine.	Esse é meu.
I was jealous of you.	Eu estava com ciúmes de você.
